Athlete_unique_url,Athlete,Trigram,Country,Event,Gender,Sport,Gold,Silver,Bronze,Total,Participations
/olympics/athletes/ru/igor-rudakov-1.html,"Rudakov,Igor",URS,Soviet Union,Summer,Male,Rowing,0,1,0,1,4
/olympics/athletes/ru/jelena-rublevska-1.html,"RubA14evska,JeA14ena",LAT,Latvia,Summer,Female,Modern Pentathlon,0,1,0,1,4
/olympics/athletes/ru/martins-rubenis-1.html,"Rubenis,MArtiAA",LAT,Latvia,Winter,Male,Luge,0,0,2,2,5
/olympics/athletes/ru/peter-rull-sr-1.html,"Rull, Sr.,Peter",HKG,Hong Kong,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/ru/ricardo-rusticucci-1.html,"Rusticucci,Ricardo",ARG,Argentina,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/ru/viktor-ruban-1.html,"Ruban,Viktor",UKR,Ukraine,Summer,Male,Archery,1,0,1,2,4
/olympics/athletes/ru/yumilka-ruiz-1.html,"RuAz,Yumilka",CUB,Cuba,Summer,Female,Volleyball,2,0,1,3,4
/olympics/athletes/ry/erwina-rys-ferens-1.html,"RyA-Ferens,Erwina",POL,Poland,Winter,Female,Speed Skating,0,0,0,0,4
/olympics/athletes/ry/inna-ryskal-1.html,"Ryskal,Inna",URS,Soviet Union,Summer,Female,Volleyball,2,2,0,4,4
/olympics/athletes/ry/oleg-ryzhenkov-1.html,"Ryzhenkov,Oleg",BLR,Belarus,Winter,Male,Biathlon,0,0,0,0,4
/olympics/athletes/ry/serhiy-rysenko-1.html,"Rysenko,Serhiy",UKR,Ukraine,Summer,Male,Cycling,0,0,0,0,4
/olympics/athletes/sa/ahmed-salah-1.html,"Salah,Ahmed",DJI,Djibouti,Summer,Male,Athletics,0,0,1,1,4
/olympics/athletes/sa/akira-sasaki-1.html,"Sasaki,Akira",JPN,Japan,Winter,Male,Alpine Skiing,0,0,0,0,4
/olympics/athletes/sa/alessio-sartori-1.html,"Sartori,Alessio",ITA,Italy,Summer,Male,Rowing,1,1,1,3,5
/olympics/athletes/sa/amarilys-savon-1.html,"SavA3n,Amarilys",CUB,Cuba,Summer,Female,Judo,0,0,3,3,4
/olympics/athletes/sa/ambroise-sarr-1.html,"Sarr,Ambroise",SEN,Senegal,Summer,Male,Wrestling,0,0,0,0,4
/olympics/athletes/sa/andre-sa-1.html,"SA,AndrA",BRA,Brazil,Summer,Male,Tennis,0,0,0,0,4
/olympics/athletes/sa/andre-salah-sakakini-1.html,"Sakakini,AndrA Salah",EGY,Egypt,Summer,Male,Equestrianism,0,0,0,0,4
/olympics/athletes/sa/arantxa-sanchez-vicario-1.html,"SAnchez Vicario,Arantxa",ESP,Spain,Summer,Female,Tennis,0,2,2,4,5
/olympics/athletes/sa/buvaysar-saytiyev-1.html,"Saytiyev,Buvaysar",RUS,Russia,Summer,Male,Wrestling,3,0,0,3,4
/olympics/athletes/sa/carla-sacramento-1.html,"Sacramento,Carla",POR,Portugal,Summer,Female,Athletics,0,0,0,0,4
/olympics/athletes/sa/carlos-sala-1.html,"Sala,Carlos",ESP,Spain,Summer,Male,Athletics,0,0,0,0,5
/olympics/athletes/sa/dmitry-sautin-1.html,"Sautin,Dmitry",RUS,Russia,Summer,Male,Diving,2,2,3,7,4
/olympics/athletes/sa/erik-saetter-lassen-1.html,"SAtter-Lassen,Erik",DEN,Denmark,Summer,Male,Shooting,1,0,0,1,4
/olympics/athletes/sa/felix-sanchez-1.html,"SAnchez,FAlix",DOM,Dominican Republic,Summer,Male,Athletics,2,0,0,2,4
/olympics/athletes/sa/gene-samuel-1.html,"Samuel,Gene",TTO,Trinidad and Tobago,Summer,Male,Cycling,0,0,0,0,4
/olympics/athletes/sa/german-sanchez-1.html,"SAnchez,GermAn",MEX,Mexico,Summer,Male,Athletics,0,0,0,0,4
/olympics/athletes/sa/gianluigi-saccaro-1.html,"Saccaro,Gianluigi",ITA,Italy,Summer,Male,Fencing,1,1,1,3,4
/olympics/athletes/sa/hans-sauter-1.html,"Sauter,Hans",AUT,Austria,Summer,Male,Gymnastics,0,0,0,0,4
/olympics/athletes/sa/heather-samuel-1.html,"Samuel,Heather",ANT,Antigua and Barbuda,Summer,Female,Athletics,0,0,0,0,4
/olympics/athletes/sa/heikki-savolainen-1.html,"Savolainen,Heikki",FIN,Finland,Summer,Male,Gymnastics,2,1,6,9,5
/olympics/athletes/sa/henri-saint-cyr-1.html,"Saint Cyr,Henri",SWE,Sweden,Summer,Male,Equestrianism,2,0,0,2,4
/olympics/athletes/sa/homare-sawa-1.html,"Sawa,Homare",JPN,Japan,Summer,Female,Football,0,1,0,1,4
/olympics/athletes/sa/jane-saville-1.html,"Saville,Jane",AUS,Australia,Summer,Female,Athletics,0,0,1,1,4
/olympics/athletes/sa/jean-michel-saive-1.html,"Saive,Jean-Michel",BEL,Belgium,Summer,Male,Table Tennis,0,0,0,0,7
/olympics/athletes/sa/jordi-sans-1.html,"Sans,Jordi",ESP,Spain,Summer,Male,Water Polo,1,1,0,2,5
/olympics/athletes/sa/jorge-alberto-salas-1.html,"Salas,Jorge Alberto",ARG,Argentina,Summer,Male,Sailing,0,1,0,1,5
/olympics/athletes/sa/juan-antonio-san-epifanio-1.html,"San Epifanio,Juan Antonio",ESP,Spain,Summer,Male,Basketball,0,1,0,1,4
/olympics/athletes/sa/juan-sanchez-2.html,"SAnchez,Juan",ESP,Spain,Summer,Male,Canoeing,0,0,0,0,4
/olympics/athletes/sa/kazunari-sasaki-1.html,"Sasaki,Kazunari",JPN,Japan,Winter,Male,Cross Country Skiing,0,0,0,0,4
/olympics/athletes/sa/kristina-saltanovic-1.html,"SaltanoviA,Kristina",LTU,Lithuania,Summer,Female,Athletics,0,0,0,0,4
/olympics/athletes/sa/leevan-sands-1.html,"Sands,Leevan",BAH,Bahamas,Summer,Male,Athletics,0,0,1,1,4
/olympics/athletes/sa/marian-sandu-1.html,"Sandu,Marian",ROU,Romania,Summer,Male,Wrestling,0,0,0,0,4
/olympics/athletes/sa/mirko-sandic-1.html,"SandiA,Mirko",YUG,Yugoslavia,Summer,Male,Water Polo,1,1,0,2,4
/olympics/athletes/sa/miroslav-satan-1.html,"A atan,Miroslav",SVK,Slovakia,Winter,Male,Ice Hockey,0,0,0,0,4
