pays Name,pays Code,série Name,série Code,2016 [YR2016]
Finlande,FIN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,190132000000
France,FRA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2122073000000
Gabon,GAB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,5468004000000
Gambie,GMB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,24645430500
Géorgie,GEO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,11049035897.829
Ghana,GHA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,36080465000
Gibraltar,GIB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Grèce,GRC,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,184594086900
Grenade,GRD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2267587900
Groenland,GRL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Guam,GUM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,5200000000
Guatemala,GTM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,248067778000
Guinée,GIN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,52221551477814.2
Guinée équatoriale,GNQ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,6083140319717.21
Guinée-Bissau,GNB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,453636904400
Guyane,GUY,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,442254000000
Haïti,HTI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,15851000000
Honduras,HND,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,196579800000
Hongrie,HUN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,30605819424400
Île de Man,IMN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Îles Anglo-Normandes,CHI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Îles Caïmans,CYM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Îles Féroé,FRO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Îles Marshall,MHL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,158848500
Îles Salomon,SLB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4892000000
Îles Turques-et-Caïques,TCA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Îles Vierges (EU),VIR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Îles Vierges britanniques,VGB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Inde,IND,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,121898539338500
Indonésie,IDN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,9.4330344E+15
"Iran, République islamique d’",IRN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,6.916081E+15
Iraq,IRQ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,202976024902100
Irlande,IRL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,250947822200
Islande,ISL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1986342519300
Israël,ISR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1076112578200
Italie,ITA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1573002200000
Jamaïque,JAM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,866326000000
Japon,JPN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,530883379688900
Jordanie,JOR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,11642927200
Kazakhstan,KAZ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,13055773503700
Kenya,KEN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4299088000000
Kiribati,KIR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,179547056.276468
Kosovo,XKX,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,5023700000
Koweït,KWT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,40942900000
Lesotho,LSO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,24243571800
Lettonie,LVA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,21785746000
Liban,LBN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,64688921127800
Libéria,LBR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,760336800
Libye,LBY,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Liechtenstein,LIE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Lituanie,LTU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,34423397800
Luxembourg,LUX,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,47724326000
"Macédoine, ex-République yougoslave de",MKD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,433373653800
Madagascar,MDG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,711987493167.645
Malaisie,MYS,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1108227000000
Malawi,MWI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1310765000000
Maldives,MDV,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,61727421711.6388
Mali,MLI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4678561855000
Malte,MLT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,8777286701.8871
Mariannes,MNP,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1061000000
Maroc,MAR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,914011669200
Maurice,MUS,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,332201195800
Mauritanie,MRT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,870254238500
Mexique,MEX,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,14462161663000
"Micronésie, États fédérés de",FSM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,242001900
Moldova,MDA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,33304146500
Monaco,MCO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Mongolie,MNG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,16047782732400
Monténégro,MNE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1659358500
Mozambique,MOZ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,468758816406.25
Myanmar,MMR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,59792499000000
Namibie,NAM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,109747617187.5
Nauru,NRU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,110412700
Népal,NPL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,767491575800
Nicaragua,NIC,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,178234637500
Niger,NER,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3279204000000
Nigéria,NGA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,68652430364690
Norvège,NOR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2857475940800
Nouvelle-Calédonie,NCL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Nouvelle-Zélande,NZL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,239956400662.563
Oman,OMN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Ouganda,UGA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,55759856907484.4
Ouzbékistan,UZB,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3437373876200
Pakistan,PAK,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,11749685000000
Palaos,PLW,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,210050900
Panama,PAN,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,37476000000
Papouasie-Nouvelle-Guinée,PNG,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,60036000000
Paraguay,PRY,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,30232473750384.9
Pays-Bas,NLD,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,672092605700
Pérou,PER,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,501098000000
Philippines,PHL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,8126403433100
Pologne,POL,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1725150000000
Polynésie française,PYF,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Porto Rico,PRI,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
Portugal,PRT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,174839386600
Qatar,QAT,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,796175000000
"Région administrative spéciale de Macao, Chine",MAC,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,359087000000
République arabe syrienne,SYR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,..
République centrafricaine,CAF,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,623141309700
République démocratique populaire lao,LAO,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,108914778799300
République dominicaine,DOM,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,2244312220600
République kirghize,KGZ,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,41789859700
République slovaque,SVK,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,79037428000
République tchèque,CZE,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,4418198000000
Roumanie,ROU,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,395861400000
Royaume-Uni,GBR,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,1782198038000
Rwanda,RWA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,6304000000000
Sainte-Lucie,LCA,PIB (en unités de devises locales constantes),NY.GDP.MKTP.KN,3426518900
